regime,state,group,year,ci90_width,width_pct_change_vs_main
tight_combined,Uttar Pradesh,NotYet,2050,0.7413654973027037,1.9491327367025781
tight_combined,Uttarakhand,By2016,2030,0.4458659386127697,2.709636746782926
tight_combined,Uttarakhand,By2016,2040,0.556260713181109,2.821623530879933
tight_combined,Uttarakhand,By2016,2050,0.5984130894535329,3.1034634015992513
tight_combined,West Bengal,By2011,2030,0.39454609433742616,0.6414551239460051
tight_combined,West Bengal,By2011,2040,0.4979991892782043,0.05780228298279635
tight_combined,West Bengal,By2011,2050,0.5501466564304629,4.768026398713395
floor_low,Andaman & Nicobar Islands,By2011,2030,0.4462966498355234,0.6873150915898806
floor_low,Andaman & Nicobar Islands,By2011,2040,0.5012629513205176,-0.6423162392531055
floor_low,Andaman & Nicobar Islands,By2011,2050,0.5136469911904643,-5.9981328417788085
floor_low,Andhra Pradesh,By2011,2030,0.42750940112395663,-0.41787020037428396
floor_low,Andhra Pradesh,By2011,2040,0.5086713390752966,-4.619665538245211
floor_low,Andhra Pradesh,By2011,2050,0.5598727781403595,0.5953372070624324
floor_low,Arunachal Pradesh,By2016,2030,0.5511226782878291,-1.5189838627753351
floor_low,Arunachal Pradesh,By2016,2040,0.6080846938346858,-2.2839531531955277
floor_low,Arunachal Pradesh,By2016,2050,0.6166285777222897,-0.452444633518865
floor_low,Assam,By2021,2030,0.4615455855067252,2.0769269159079093
floor_low,Assam,By2021,2040,0.5654868977231324,-1.738958075409783
floor_low,Assam,By2021,2050,0.6172052679427948,-0.795201503035476
floor_low,Bihar,NotYet,2030,0.611205436586225,-3.2827828544491773
floor_low,Bihar,NotYet,2040,0.7709568452491002,2.304416779186583
floor_low,Bihar,NotYet,2050,0.8096992672626828,2.7625589652475897
floor_low,Chandigarh,By2011,2030,0.5181061103635294,-3.3147695066939176
floor_low,Chandigarh,By2011,2040,0.5500618698090762,-3.1548515985370695
floor_low,Chandigarh,By2011,2050,0.5568748303558497,-3.2665637419264724
floor_low,Chhattisgarh,By2021,2030,0.4953193679284287,2.2173920635794127
floor_low,Chhattisgarh,By2021,2040,0.6029002124122,-3.4857162158494206
floor_low,Chhattisgarh,By2021,2050,0.6605249808069025,-1.775642044506001
floor_low,Dadra & Nagar Haveli and Daman & Diu,By2021,2030,0.5705564939382008,-2.164908494250326
floor_low,Dadra & Nagar Haveli and Daman & Diu,By2021,2040,0.627533239591463,-2.387459115298488
floor_low,Dadra & Nagar Haveli and Daman & Diu,By2021,2050,0.6542841964189805,-1.3914881081972474
